" - Tesla Is “Apple On Steroids” Says Analyst

NEW
 
$TSLA Tesla TSLA TeslaStock ElonMusk Elon ",0.45454545454545453,0.13636363636363635,Positive
" _Jam_ Si vas con Tesla y cargas en un cargador Tesla, en 5 min estás listo. Pero como solo haya cargadores lentos muérete… en autovía hay puntos en todas las gasolineras. Lo bueno es que la conducción del Tesla en una pasada, va hasta sin tocar el volante",0.0,0.0,Neutral
"  no it's because Tesla released it to the public and oversold it resulting in dozens of deaths, though to be fair Karpathy probably had nothing to do with that decision hence why he should be preparing",0.48333333333333334,0.35,Positive
"Türkiye yolundaki Tesla, genel merkezde önemli isimleri kaybetti

Elon Musk, kısa süre önce küresel olarak görülen olumsuz ekonomik tablo nedeniyle Tesla tarafında işten çıkarma yapılmasını istemişti. Elon Musk, üst düzey Tesla yöneticilerine geçtiğimiz … ",0.0,0.0,Neutral
Tesla loses top AI executive who led Autopilot vision team - TechCrunch  news topstories berkleybearnews,0.3,0.1,Positive
14-07-2022 08:09:01  BlastFMRock 🔊 Tesla - Love Song,0.6,0.5,Positive
"Panasonic picks Kansas for Tesla EV battery plant, state puts investment at $4 billion 

",0.0,0.0,Neutral
"Tesla ha llegado a mi territorio 😤😡😡😤😡😤😡😡😡 
La electricidad para las bombillas jejej",0.0,0.0,Neutral
Tesla Autopilot boss resigns ,0.0,0.0,Neutral
"Tesla Autopilot Chief to Depart, Adding to Upheaval in Executive Ranks ",0.0,0.0,Neutral
" Están hartos de subvencionarlo todo y no puede ser
A veces se hacen inversiones enormes y al final hay que monetizarlas, mira tesla que montó su red de súper cargadores solo para  y sus amigos clientes todos de tesla y al final las van a abrir al público no tesla",0.6666666666666666,0.0,Neutral
يبيلي Tesla بس اخاف تعلق و يطلع error unknown road 😂 ,0.6,-0.1,Negative
"In order to build a better world, here are the things we need

1. Verticle farms
2. Air to water generators
3. Tesla towers
4. water powered engines (hydrogen)
5. 3D printing manufacturing
6. Ion rocket engines + asteroid mining
7. Robot mining
8. Crypto currency
...",0.5,0.5,Positive
